title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Gladiator,2000-05-04,103000000,465361176,16062,8.205,155,98,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Memento,2000-10-11,9000000,39723096,13002,8.19,113,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
X-Men,2000-07-13,75000000,296339527,10083,6.986,104,36657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cast Away,2000-12-22,90000000,429632142,9985,7.657,143,8358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,2000-04-13,7000000,34266564,8941,7.392,102,1359,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Requiem for a Dream,2000-10-06,4500000,7390108,8617,8.034,102,641,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unbreakable,2000-11-22,75000000,248118121,8198,7.132,106,9741,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Snatch,2000-09-01,10000000,83557872,7818,7.798,103,107,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas,2000-11-15,123000000,345823040,6420,6.745,104,8871,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Scary Movie,2000-07-07,19000000,278019771,5968,6.319,88,4247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Emperor's New Groove,2000-12-15,100000000,169327687,5777,7.549,78,11688,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,2000-05-24,125000000,546388105,5630,6.11,123,955,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Meet the Parents,2000-10-06,55000000,330444045,5260,6.667,108,1597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Final Destination,2000-03-17,23000000,112880294,4753,6.572,98,9532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chicken Run,2000-06-21,45000000,224834564,4257,6.737,84,7443,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitch Black,2000-02-18,23000000,53187659,3866,6.832,108,2787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Beach,2000-02-03,40000000,144056873,3839,6.457,119,1907,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Gone in Sixty Seconds,2000-06-09,90000000,237202299,3804,6.391,118,9679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Charlie's Angels,2000-11-02,92000000,264105545,3686,5.818,98,4327,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"O Brother, Where Art Thou?",2000-08-30,26000000,71870729,3554,7.32,107,134,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Women Want,2000-12-15,70000000,374111707,3427,6.417,127,3981,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Billy Elliot,2000-09-28,5000000,109280263,3405,7.589,110,71,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Miss Congeniality,2000-12-22,45000000,212000000,3371,6.512,111,1493,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Patriot,2000-06-28,110000000,215294342,3344,7.16,165,2024,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
The Road to El Dorado,2000-03-31,95000000,76432727,3324,7.241,89,10501,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Me, Myself & Irene",2000-06-22,51000000,149270999,3302,6.577,116,2123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolat,2000-03-02,25000000,152500343,2943,6.953,121,392,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Scream 3,2000-02-03,40000000,161834276,2781,5.95,116,4234,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Erin Brockovich,2000-03-17,52000000,256271286,2661,7.412,131,462,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Almost Famous,2000-09-15,60000000,47386287,2299,7.485,122,786,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Remember the Titans,2000-09-29,30000000,136706683,2260,7.603,113,10637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai Noon,2000-05-26,55000000,99274467,2186,6.403,110,8584,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hollow Man,2000-08-04,95000000,190213455,2169,5.903,112,9383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Dinosaur,2000-05-19,127500000,354248063,2161,6.51,82,10567,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Big Momma's House,2000-05-31,30000000,173959438,2006,5.804,98,9600,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men of Honor,2000-09-13,32000000,82343495,1912,7.433,129,11978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Perfect Storm,2000-06-29,120000000,325756637,1907,6.413,130,2133,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Coyote Ugly,2000-07-30,45000000,113916474,1801,6.232,100,6282,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Traffic,2000-03-23,48000000,207515725,1788,7.065,147,1900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The 6th Day,2000-11-17,82000000,96085477,1724,5.947,123,8452,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
High Fidelity,2000-03-17,30000000,47126295,1673,7.137,113,243,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
The Family Man,2000-12-12,60000000,124700000,1649,6.755,125,5994,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Road Trip,2000-05-19,16000000,119754278,1627,6.157,93,9285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Whole Nine Yards,2000-02-18,41300000,106371651,1588,6.446,98,2069,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedazzled,2000-10-19,48000000,90383208,1586,6.016,93,1636,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Dude, Where's My Car?",2000-12-15,13000000,73180723,1576,5.509,83,8859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Little Nicky,2000-11-10,85000000,58292295,1564,5.873,90,9678,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What Lies Beneath,2000-07-21,100000000,291420351,1558,6.41,130,2655,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Pay It Forward,2000-10-20,40000000,55707411,1553,7.295,122,10647,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Little Mermaid II: Return to the Sea,2000-01-23,0,0,1509,6.44,75,10898,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dancer in the Dark,2000-06-30,12800000,40031879,1506,7.894,141,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bring It On,2000-08-25,28000000,90449929,1485,6.227,98,1588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frequency,2000-04-28,31000000,68106245,1460,7.197,118,10559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Cell,2000-08-17,33000000,104155843,1317,6.252,107,8843,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Mission to Mars,2000-03-10,90000000,60874615,1195,5.984,114,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102 Dalmatians,2000-11-21,85000000,183611771,1189,5.5,100,10481,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Space Cowboys,2000-08-04,65000000,128884132,1176,6.366,130,5551,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nutty Professor II: The Klumps,2000-07-27,84000000,123307945,1124,5.0,106,12107,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Shaft,2000-06-15,46000000,107626125,1087,5.964,99,479,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
For the Birds,2000-11-02,0,0,1043,7.491,3,13930,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
U-571,2000-04-20,62000000,127666415,1022,6.454,116,3536,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Romeo Must Die,2000-03-22,25000000,91036760,996,6.2,115,2085,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Gift,2000-03-16,10000000,12008642,989,6.415,112,2046,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Batman Beyond: Return of the Joker,2000-12-12,0,0,927,7.225,76,16234,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Finding Forrester,2000-12-21,43000000,80049764,928,7.089,136,711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Titan A.E.,2000-06-16,75000000,36754634,921,6.605,94,7450,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Vertical Limit,2000-12-08,75000000,215663859,885,6.014,124,11678,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Red Planet,2000-11-10,80000000,33463969,876,5.689,106,8870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Joseph: King of Dreams,2000-11-07,0,0,845,6.7,75,16366,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28 Days,2000-04-06,43000000,6219894,839,6.131,103,10468,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Kid,2000-07-07,65000000,110317580,812,6.475,104,4244,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Replacements,2000-08-11,50000000,50054511,799,6.624,118,10393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Bagger Vance,2000-11-02,80000000,39459427,767,6.518,126,4958,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ginger Snaps,2000-08-01,5000000,0,704,6.8,108,9871,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Battlefield Earth,2000-05-12,73000000,29000000,695,3.24,118,5491,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Proof of Life,2000-12-08,65000000,0,671,6.071,135,11983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Book of Shadows: Blair Witch 2,2000-10-27,15000000,47737094,671,4.224,90,11531,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Flintstones in Viva Rock Vegas,2000-04-28,83000000,59468275,640,4.82,90,889,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Thirteen Days,2000-12-25,80000000,34566746,617,6.991,145,11973,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
Sexy Beast,2000-09-13,5000000,0,607,6.972,89,11826,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Where the Heart Is,2000-04-27,15000000,33771174,606,7.122,120,10564,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Autumn in New York,2000-08-11,65000000,0,601,6.1,103,10641,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Rules of Engagement,2000-04-07,60000000,71000000,586,6.218,128,10479,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Small Time Crooks,2000-05-19,0,0,557,6.473,94,10569,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula 2000,2000-12-22,28000000,47053625,553,5.183,99,10577,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Boiler Room,2000-02-18,7000000,28780255,550,6.726,118,14181,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Reindeer Games,2000-02-25,42000000,32168970,542,5.634,124,2155,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Quills,2000-11-22,13500000,7060876,536,7.148,124,10876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
An Extremely Goofy Movie,2000-02-29,0,0,523,6.387,79,15653,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Keeping the Faith,2000-04-14,30000000,59945183,520,6.071,127,4967,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wonder Boys,2000-02-22,35000000,0,502,6.8,111,11004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dungeons & Dragons,2000-12-08,35000000,15185241,493,4.286,107,11849,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Skulls,2000-03-31,15000000,50802120,488,5.754,106,11478,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Best in Show,2000-09-29,0,0,487,6.971,90,13785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tigger Movie,2000-02-11,30000000,45554533,485,6.505,77,15655,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
But I'm a Cheerleader,2000-07-07,1200000,2600000,481,6.964,85,20770,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shadow of the Vampire,2000-05-15,8000000,8279017,478,6.697,92,10873,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Tigerland,2000-10-06,10000000,148701,471,6.615,101,10687,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Next Friday,2000-01-12,11000000,59827328,466,6.447,98,10471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Carter,2000-10-06,63600000,19412993,464,5.122,102,10461,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Art of War,2000-08-25,40000000,30199105,417,5.731,117,11398,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Watcher,2000-09-08,33000000,0,416,5.0,96,10685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Rugrats in Paris: The Movie,2000-11-17,30000000,103291131,407,6.6,78,16340,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Urban Legends: Final Cut,2000-09-22,14000000,38574362,401,4.825,98,12212,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Under Suspicion,2000-09-24,25000000,1308242,385,6.109,110,10562,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100 Girls,2000-09-01,0,0,379,5.809,94,10035,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hellraiser: Inferno,2000-10-03,2000000,0,376,5.427,99,12597,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
Love & Basketball,2000-04-21,20000000,27728118,375,7.488,124,14736,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Return to Me,2000-04-07,24000000,36609995,373,6.585,115,2621,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Loser,2000-07-21,0,0,370,5.355,98,10642,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Saving Grace,2000-01-24,10000000,26330482,362,6.504,93,2360,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Yards,2000-04-27,0,0,359,6.184,115,19457,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Brother,2000-12-13,12000000,15250000,357,7.134,114,327,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Way of the Gun,2000-09-08,8500000,19125401,354,6.3,119,1619,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Little Vampire,2000-10-27,35000000,27965865,350,6.797,95,24100,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Boys and Girls,2000-06-16,16000000,20627372,349,6.0,94,10571,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Life-Size,2000-03-05,7000000,0,342,6.178,101,36968,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Bounce,2000-11-15,35000000,36779296,342,5.738,106,10862,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Highlander: Endgame,2000-09-01,25000000,15843608,334,4.88,87,12211,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nurse Betty,2000-08-30,24000000,0,333,5.9,108,10480,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Adventures of Rocky & Bullwinkle,2000-06-30,76000000,35134820,319,4.1,88,17711,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Supernova,2000-01-14,90000000,14828081,312,4.9,91,10384,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Scooby-Doo and the Alien Invaders,2000-10-03,0,0,309,7.1,74,20410,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Beethoven's 3rd,2000-09-07,0,0,305,5.1,99,24476,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Buzz Lightyear of Star Command: The Adventure Begins,2000-08-08,0,0,297,6.448,70,16187,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Center Stage,2000-05-12,29000000,26385941,293,6.944,115,10560,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Chopper,2000-06-21,0,236185,287,6.695,94,9519,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Dr. T & the Women,2000-09-13,23000000,22844291,281,4.875,121,10763,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Million Dollar Hotel,2000-02-09,8000000,105983,267,5.908,122,318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Crow: Salvation,2000-01-23,10000000,0,265,5.396,102,9456,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
Pollock,2000-09-06,6000000,10994533,258,6.7,122,12509,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Shriek If You Know What I Did Last Friday the Thirteenth,2000-10-17,5000000,0,257,4.745,86,4226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Dog Skip,2000-01-12,6000000,35547761,249,6.8,95,17908,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
You Can Count on Me,2000-11-17,0,0,249,6.902,111,14295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DragonHeart: A New Beginning,2000-08-08,0,0,249,5.3,84,10473,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Our Lips Are Sealed,2000-05-18,0,0,246,6.047,89,34729,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Land Before Time VII: The Stone of Cold Fire,2000-12-05,0,0,241,6.1,75,24102,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bless the Child,2000-08-11,40000000,0,241,5.259,107,10391,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Whatever It Takes,2000-03-31,15000000,9902115,236,5.847,94,16222,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cherry Falls,2000-08-25,0,0,234,5.256,92,12619,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Before Night Falls,2000-09-03,0,8524534,233,6.644,134,5001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001: A Space Travesty,2000-10-31,26000000,270813,217,4.325,99,7290,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Woman on Top,2000-09-22,8000000,0,209,6.3,92,14629,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Down to You,2000-01-21,9000000,0,208,5.2,91,10472,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cecil B. Demented,2000-05-17,10000000,0,207,6.401,87,14195,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Contender,2000-10-13,20000000,22428990,197,6.7,126,6521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Man Who Cried,2000-08-29,20170000,1800000,196,6.051,96,29572,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Gossip,2000-04-21,14000000,5108820,192,5.8,90,18041,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Ordinary Decent Criminal,2000-01-07,0,0,191,6.157,93,12490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
All the Pretty Horses,2000-12-11,57000000,0,183,5.87,117,21355,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Leprechaun in the Hood,2000-03-28,0,0,181,5.017,90,18011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Animal Factory,2000-08-01,3600000,43805,181,6.333,94,9791,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Snow Day,2000-02-11,13000000,62464731,176,5.059,89,15489,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Heavy Metal 2000,2000-04-19,15000000,0,175,6.1,88,16225,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
State and Main,2000-08-26,0,0,173,6.367,102,21991,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gangster No. 1,2000-06-09,0,30915,171,6.447,103,10394,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
There's Only One Jimmy Grimble,2000-08-25,0,0,168,6.8,106,1609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rejected,2000-07-25,0,0,166,7.389,9,32536,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks Meet the Wolfman,2000-08-29,0,0,165,6.9,77,48246,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
The Next Best Thing,2000-03-03,25000000,24362772,165,5.2,108,1831,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Casper's Haunted Christmas,2000-10-31,0,0,163,5.356,84,5833,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bait,2000-09-15,35000000,0,161,5.7,119,14805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fortress 2,2000-03-02,11000000,0,159,5.1,92,11119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dish,2000-10-19,0,0,155,6.7,101,5257,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Here on Earth,2000-03-24,15000000,10873148,153,6.1,96,13539,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Lucky Numbers,2000-10-27,65000000,0,150,5.12,105,10783,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanging Up,2000-02-16,60000000,51880044,147,5.2,94,10385,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lost Souls,2000-10-13,50000000,31355910,144,5.1,97,10383,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Girlfight,2000-05-01,0,0,143,6.2,110,19348,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drowning Mona,2000-03-03,6000000,15427192,141,5.557,96,25166,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Weight of Water,2000-09-25,16000000,109130,141,5.6,113,13526,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Crocodile,2000-12-26,2800000,0,139,5.4,94,40466,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Vatel,2000-05-01,0,0,138,6.181,125,7093,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Takedown,2000-03-15,0,0,137,6.215,92,10429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Prophecy 3: The Ascent,2000-03-14,0,0,134,6.082,84,9011,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Ready to Rumble,2000-04-07,24000000,12372410,132,5.2,107,20697,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Planet Are You From?,2000-03-03,60000000,0,127,5.5,105,10416,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Duets,2000-09-09,0,0,122,5.8,112,18074,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Kevin & Perry Go Large,2000-04-20,0,0,120,4.904,82,10597,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hamlet,2000-05-12,2000000,1568749,117,5.769,112,10688,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dave Chappelle: Killin' Them Softly,2000-07-26,0,0,116,8.1,57,16275,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ladies Man,2000-10-13,24000000,13700000,115,5.3,84,16888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruiser,2000-02-13,5000000,0,112,5.5,99,29512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Gun Shy,2000-02-04,10000000,1631839,108,5.3,101,29076,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Left Behind: The Movie,2000-10-30,0,0,107,4.243,100,37302,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
Love & Sex,2000-04-10,0,580372,105,6.2,82,25128,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mom's Got a Date with a Vampire,2000-10-13,0,0,102,5.7,85,92208,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Bamboozled,2000-10-06,0,0,102,6.2,136,24664,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Happy Accidents,2000-01-25,0,688510,101,6.8,110,22230,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ed Gein,2000-11-17,0,5708,91,5.4,89,55888,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
George Washington,2000-10-01,42000,241816,91,6.7,90,18292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paradise Lost 2: Revelations,2000-07-28,0,0,91,7.121,130,17208,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
